Gene name	Gene stable ID	Transcript stable ID
cacng7a	ENSDARG00000063006	ENSDART00000147128
	ENSDARG00000097115	ENSDART00000157205
	ENSDARG00000097115	ENSDART00000156827
P2RY8	ENSDARG00000055560	ENSDART00000137504
	ENSDARG00000099099	ENSDART00000185718
	ENSDARG00000099099	ENSDART00000185083
	ENSDARG00000099099	ENSDART00000174069
slc24a5	ENSDARG00000024771	ENSDART00000033574
fsta	ENSDARG00000052846	ENSDART00000146237
fsta	ENSDARG00000052846	ENSDART00000051065
SRBD1	ENSDARG00000092855	ENSDART00000137388
SRBD1	ENSDARG00000092855	ENSDART00000169076
ms4a17a.4	ENSDARG00000014024	ENSDART00000082121
abhd14b	ENSDARG00000100531	ENSDART00000165067
si:ch73-299h12.6	ENSDARG00000101319	ENSDART00000168712
slc22a15	ENSDARG00000055445	ENSDART00000077804
slc22a15	ENSDARG00000055445	ENSDART00000154756
si:dkey-26g8.5	ENSDARG00000089750	ENSDART00000106072
ADGRB1	ENSDARG00000078529	ENSDART00000141359
ADGRB1	ENSDARG00000078529	ENSDART00000179342
ADGRB1	ENSDARG00000078529	ENSDART00000143118
	ENSDARG00000094550	ENSDART00000138340
tor4ab	ENSDARG00000091169	ENSDART00000077245
tor4ab	ENSDARG00000091169	ENSDART00000183196
ciao2b	ENSDARG00000052010	ENSDART00000073734
ciao2b	ENSDARG00000052010	ENSDART00000144591
ciao2b	ENSDARG00000052010	ENSDART00000124342
ciao2b	ENSDARG00000052010	ENSDART00000191291
sh3bgrl3	ENSDARG00000098075	ENSDART00000168665
	ENSDARG00000093164	ENSDART00000135257
	ENSDARG00000093780	ENSDART00000137386
prr36a	ENSDARG00000069595	ENSDART00000149116
prr36a	ENSDARG00000069595	ENSDART00000143363
	ENSDARG00000093621	ENSDART00000147568
	ENSDARG00000093621	ENSDART00000144218
itgb3b	ENSDARG00000045070	ENSDART00000150048
itgb3b	ENSDARG00000045070	ENSDART00000006908
steap4	ENSDARG00000055901	ENSDART00000145198
ccl34b.1	ENSDARG00000093608	ENSDART00000137420
ccl34b.1	ENSDARG00000093608	ENSDART00000165760
ccl34b.1	ENSDARG00000093608	ENSDART00000145829
plg	ENSDARG00000023111	ENSDART00000134689
plg	ENSDARG00000023111	ENSDART00000045816
rpl5a	ENSDARG00000020197	ENSDART00000005944
deptor	ENSDARG00000040930	ENSDART00000140469
deptor	ENSDARG00000040930	ENSDART00000059984
deptor	ENSDARG00000040930	ENSDART00000133566
deptor	ENSDARG00000040930	ENSDART00000167411
gnb5a	ENSDARG00000099685	ENSDART00000161627
gnb5a	ENSDARG00000099685	ENSDART00000168016
nfatc3b	ENSDARG00000051729	ENSDART00000134928
	ENSDARG00000098514	ENSDART00000172612
adamts9	ENSDARG00000077778	ENSDART00000109440
adamts9	ENSDARG00000077778	ENSDART00000138964
matcap2	ENSDARG00000057227	ENSDART00000132384
matcap2	ENSDARG00000057227	ENSDART00000174834
	ENSDARG00000092014	ENSDART00000135518
	ENSDARG00000092014	ENSDART00000141768
	ENSDARG00000092014	ENSDART00000143051
	ENSDARG00000092014	ENSDART00000140090
b3gntl1	ENSDARG00000043431	ENSDART00000104222
b3gntl1	ENSDARG00000043431	ENSDART00000063750
b3gntl1	ENSDARG00000043431	ENSDART00000143018
phyhd1	ENSDARG00000029905	ENSDART00000140432
phyhd1	ENSDARG00000029905	ENSDART00000147187
phyhd1	ENSDARG00000029905	ENSDART00000025612
phyhd1	ENSDARG00000029905	ENSDART00000148910
agtrap	ENSDARG00000077082	ENSDART00000160681
agtrap	ENSDARG00000077082	ENSDART00000111284
agtrap	ENSDARG00000077082	ENSDART00000157703
zzz3	ENSDARG00000077581	ENSDART00000134308
zzz3	ENSDARG00000077581	ENSDART00000114471
zzz3	ENSDARG00000077581	ENSDART00000139829
zzz3	ENSDARG00000077581	ENSDART00000137768
parp16	ENSDARG00000018593	ENSDART00000022325
nlgn4xa	ENSDARG00000079455	ENSDART00000152580
